author_id,author,gender,COUNT of id
153,Daniel Arroyo,M,6
128,Mario Goloboff,M,6
89,Dora Barrancos,F,6
80,Nicolás Trotta,M,6
55,Roxana Sandá,F,6
30,Federico Recagno,M,6
2041,Marcos Buscaglia,M,5
1942,Víctor A. Beker,M,5
1940,Fernando Cibeira,M,5
1893,Martín Smud,M,5
1883,Daniel Sabsay,M,5
1850,Sabrina Ajmechet,F,5
1701,Diego Sehinkman,M,5
1661,Andrés Hatum,M,5
1629,Osvaldo Arsenio,M,5
1587,Daniel Gustavo Montamat,M,5
1572,Rodolfo Rabanal,M,5
1491,Claudio Avruj,M,5
1489,Norberto Alayón,M,5
1432,Agustín Porres,M,5
1418,Luisa Corradini,F,5
1396,Oscar Moscariello,M,5
